City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
143,el bauga,18.262,33.9081,13.76,24,55,5.64,SD,1707012152
144,hilo,19.7297,-155.09,23.94,65,33,3.13,US,1707012153
145,porto novo,6.4965,2.6036,27.9,62,90,1.57,BJ,1707012153
146,lorengau,-2.0226,147.2712,29.96,72,87,4.01,PG,1707012153
147,okhotsk,59.3833,143.3,-22.27,77,23,7.43,RU,1707012153
148,robit,12.0167,39.6333,16.75,92,99,0.6,ET,1707011959
149,howard springs,-12.497,131.047,32.12,83,97,5.94,AU,1707012153
150,college,64.8569,-147.8028,-36.07,71,5,1.27,US,1707012154
151,nova vicosa,-17.8919,-39.3719,25.02,86,79,1.82,BR,1707011858
152,arraial do cabo,-22.9661,-42.0278,25.05,92,100,6.06,BR,1707012154
153,jayapura,-2.5333,140.7,32.66,63,59,3.21,ID,1707012154
154,margate,51.3813,1.3862,11.17,86,100,0.45,GB,1707012154
155,al bayda',32.7627,21.7551,6.21,89,6,1.58,LY,1707012154
156,lapai,9.05,6.5667,25.61,16,3,4.02,NG,1707012154
157,al kharijah,25.4514,30.5464,8.7,43,0,3.22,EG,1707012155
158,bonthe,7.5264,-12.505,25.3,88,100,1.5,SL,1707012074
159,san sebastian de la gomera,28.0916,-17.1133,19.2,36,0,0.0,ES,1707012155
160,fiuggi,41.7986,13.2203,8.81,72,16,0.93,IT,1707012155
161,kismayo,-0.3582,42.5454,26.78,82,31,5.67,SO,1707012059
162,taichung,24.1469,120.6839,21.73,81,75,3.6,TW,1707012155
163,igarka,67.4667,86.5833,-13.43,96,100,3.92,RU,1707012156
164,sisimiut,66.9395,-53.6735,-20.95,86,76,4.14,GL,1707012118
165,atafu village,-8.5421,-172.5159,29.18,75,100,8.98,TK,1707011993
166,lashio,22.9333,97.75,14.54,54,0,0.63,MM,1707012156
167,barceloneta,18.4505,-66.5385,23.49,96,98,1.48,PR,1707012156
168,utrik,11.2278,169.8474,26.56,77,96,8.39,MH,1707012156
169,youghal,51.95,-7.8506,11.56,100,100,7.72,IE,1707012157
170,sur,22.5667,59.5289,21.67,68,0,2.48,OM,1707012157
171,hancheng,32.5186,112.3522,-2.09,89,100,5.7,CN,1707012157
172,guasave,25.5667,-108.45,16.67,75,0,5.45,MX,1707012157
173,atotonilquillo,20.4,-103.1333,17.14,35,0,2.7,MX,1707012157
174,jiazi,22.8779,116.067,17.56,88,100,8.28,CN,1707012157
175,palmer,42.1584,-72.3287,-0.08,60,0,6.17,US,1707012157
176,anadyr,64.75,177.4833,-17.72,59,0,2.0,RU,1707012101
177,san antonio de pale,-1.4014,5.6325,27.81,74,100,3.0,GQ,1707012158
178,stanley,54.868,-1.6985,6.96,75,40,5.14,GB,1707011883
179,shiqian,27.5225,108.2281,0.24,91,100,0.71,CN,1707012158
180,antsiranana,-12.2787,49.2917,24.71,89,100,0.46,MG,1707012158
181,east ballina,-28.8667,153.5833,30.44,72,72,5.0,AU,1707012158
182,castillos,-34.1667,-53.8333,21.44,88,0,2.69,UY,1707012158
183,rio grande,-32.035,-52.0986,23.98,86,2,6.0,BR,1707012159
184,walvis bay,-22.9575,14.5053,19.53,88,81,0.0,NA,1707012159
185,lerwick,60.1545,-1.1494,7.0,82,100,14.09,GB,1707012117
186,fukuecho,32.6881,128.8419,12.2,87,75,6.17,JP,1707012159
187,nabire,-3.3667,135.4833,30.07,67,73,1.69,ID,1707012159
188,farafangana,-22.8167,47.8333,24.24,80,99,2.86,MG,1707012159
189,kuala sungai baru,2.3594,102.0353,27.8,78,100,2.41,MY,1707012160
190,shanghai,31.2222,121.4581,6.07,93,75,3.0,CN,1707011963
191,myadzyel,54.8731,26.9359,1.66,80,67,7.87,BY,1707012160
192,tadepallegudem,16.8333,81.5,24.19,83,2,1.74,IN,1707012160
193,karratha,-20.7377,116.8463,30.82,55,94,8.05,AU,1707011866
194,grand gaube,-20.0064,57.6608,24.22,59,4,5.89,MU,1707012160
195,flin flon,54.7682,-101.865,0.42,97,100,1.55,CA,1707012160
196,gargalianoi,37.0667,21.6333,7.97,78,2,2.8,GR,1707012160
197,hammerfest,70.6634,23.6821,-3.75,80,100,1.54,NO,1707012161
198,campo grande,-20.4428,-54.6464,24.75,78,0,3.6,BR,1707011874
199,qaqortoq,60.7167,-46.0333,-21.31,68,1,3.95,GL,1707012161
200,kattivakkam,13.2167,80.3167,24.05,74,88,1.59,IN,1707012161
201,ringkobing,56.0901,8.244,6.12,85,96,12.82,DK,1707012161
202,greymouth,-42.4667,171.2,16.91,63,93,2.54,NZ,1707012161
203,ravar,31.2656,56.8055,1.75,43,0,0.91,IR,1707012161
